order_id,customer_id,amount
1,C4047,6203
2,C4435,2317
3,C3629,6803
1,C2536,1958
2,C2605,2488
3,C0183,2466
1,C4107,1714
2,C1986,9986
3,C4220,3036
1,C2383,1668
2,C0224,8083
3,C1145,8007
1,C2240,6139
2,C2873,8267
3,C1972,8284
1,C4937,9759
2,C2363,3291
3,C3156,6475
1,C3501,4409
2,C1083,3695
3,C3813,2253
1,C2971,2304
2,C4226,974
3,C2232,4957
1,C2753,6812
2,C4733,49
3,C4009,6457
1,C4731,3044
2,C1888,6420
3,C3420,340
1,C1220,1139
2,C1490,768
3,C3171,4501
1,C0571,8061
2,C0142,281
3,C3141,5026
1,C1212,5353
2,C1667,5706
3,C4228,685
1,C3570,7159
2,C0009,5710
3,C0820,624
1,C2344,5904
2,C2405,3185
3,C0154,7960
1,C3069,1013
2,C4043,5834
3,C4459,4075
1,C1794,110
2,C2837,1384
3,C4816,7542
1,C2646,5682
2,C0916,1310
3,C3752,125
1,C4502,4385
2,C3809,2722
3,C0323,7407
1,C4328,6334
2,C4566,6372
3,C4370,3798
1,C3238,4022
2,C1012,8754
3,C3704,4655
1,C3517,9036
2,C4925,56
3,C1546,3083
1,C3729,3702
2,C0467,5808
3,C2755,1234
1,C3469,1676
2,C2621,7668
3,C4199,3119
1,C0047,7063
2,C3426,8956
3,C4620,7480
1,C0854,4680
2,C3970,4854
3,C3959,6020
1,C0336,8601
2,C1271,5278
3,C1578,4610
1,C4253,4690
2,C3839,4424
3,C3120,4069
1,C1652,6016
2,C4563,4312
3,C0882,2977
1,C1873,6065
2,C4493,1412
3,C1251,7700
1,C0153,6824
2,C1369,7404
3,C3769,6082
1,C0540,1508
2,C2669,1868
3,C0466,8557
1,C2659,7362
2,C2650,2477
3,C4626,1890
1,C0986,3271
2,C0689,9448
3,C1347,2859
1,C0946,6135
2,C1229,3600
3,C0746,1526
1,C4925,9994
2,C3890,7940
3,C2085,1607
1,C2600,9794
2,C0049,908
3,C3887,8531
1,C4976,9718
2,C4222,9642
3,C3023,9525
1,C0822,4024
2,C4177,9931
3,C1294,1185
1,C3629,3697
2,C4149,3364
3,C2817,800
1,C1250,451
2,C1861,4905
3,C3055,7215
1,C2680,9352
2,C3922,2677
3,C1428,7987
1,C2820,2753
2,C4972,908
3,C4944,8754
1,C3587,6871
2,C3120,9367
3,C3288,8302
1,C4993,512
2,C0435,7648
3,C2523,1071
1,C1598,1930
2,C3223,3958
3,C4779,2726
1,C0147,5238
2,C3090,1193
3,C2783,8278
1,C4320,9138
2,C3512,8586
3,C2912,8902
1,C2990,8678
2,C3452,1081
3,C4251,8160
1,C4418,903
2,C3009,3929
3,C4866,5619
1,C2727,3187
2,C0771,8416
3,C1571,4033
1,C4563,2594
2,C4802,242
3,C3721,7489
1,C0544,3374
2,C1725,6506
3,C3055,5189
1,C2423,8547
2,C0502,1943
3,C2692,7341
1,C0545,2121
2,C0863,2471
3,C4379,1984
1,C2241,9526
2,C1281,9565
3,C2125,1707
1,C3835,9858
2,C4823,857
3,C2091,1639
1,C0306,1667
2,C0165,4842
3,C0986,3954
1,C2602,781
2,C4972,598
3,C3313,5797
1,C2794,7868
2,C4705,5815
3,C0450,5835
1,C3611,9813
2,C4128,1683
3,C0793,3308
1,C4138,1136
2,C0094,7477
3,C3403,3478
1,C4438,1430
2,C0474,5649
3,C0423,3425
1,C3391,1639
2,C1250,5133
3,C2017,668
1,C4567,8294
2,C2869,8468
3,C3772,7502
1,C4225,6409
2,C2545,7534
3,C0517,8247
1,C0680,4402
2,C2876,9208
3,C3185,7553
1,C4809,9068
2,C4667,8106
3,C4345,9800
1,C1496,4934
2,C3998,5230
3,C3098,2473
1,C0159,7387
2,C0967,6552
3,C2315,4177
1,C2127,9345
2,C2274,5435
3,C0064,3319
1,C1833,8470
2,C4470,3037
3,C3397,406
1,C3760,8087
2,C3727,8790
3,C1435,7984
1,C4441,8713
2,C1685,384
3,C2230,9423
1,C1118,5358
2,C1449,2395
3,C3803,6871
1,C0118,8485
2,C1471,8827
3,C2260,8150
1,C0808,4462
2,C0689,4841
3,C2237,3111
1,C2611,1956
2,C3940,1347
3,C0893,8971
1,C4385,5663
2,C3208,2077
3,C0439,6271
1,C2631,1135
2,C3183,2
3,C3009,6621
1,C1267,295
2,C3726,4796
3,C0026,5779
1,C4607,9897
2,C2077,1427
3,C2598,4880
1,C1337,4673
2,C4317,58
3,C3504,6964
1,C2250,9208
2,C2287,9210
3,C4164,3896
1,C2174,310
2,C1122,4314
3,C1506,5960
1,C0475,8303
2,C1101,7840
3,C1290,2192
1,C1559,3881
